#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-BT-CO_00001
CL1103Contig1	HCGP-BT-CO_00123
CL1104Contig1	HCGP-BT-CO_00124
CL1105Contig1	HCGP-BT-CO_00125
CL1106Contig1	HCGP-BT-CO_00126
CL1107Contig1	HCGP-BT-CO_00127
CL1108Contig1	HCGP-BT-CO_00128
CL1109Contig1	HCGP-BT-CO_00129
CL110Contig1	HCGP-BT-CO_00130
CL1110Contig1	HCGP-BT-CO_00131
CL1111Contig1	HCGP-BT-CO_00132
CL1112Contig1	HCGP-BT-CO_00133
CL1113Contig1	HCGP-BT-CO_00134
CL1114Contig1	HCGP-BT-CO_00135
CL1115Contig1	HCGP-BT-CO_00136
CL1116Contig1	HCGP-BT-CO_00137
CL1117Contig1	HCGP-BT-CO_00138
CL1118Contig1	HCGP-BT-CO_00139
CL1119Contig1	HCGP-BT-CO_00140
CL111Contig1	HCGP-BT-CO_00141
CL1121Contig1	HCGP-BT-CO_00142
CL1122Contig1	HCGP-BT-CO_00143
CL1123Contig1	HCGP-BT-CO_00144
CL1124Contig1	HCGP-BT-CO_00145
CL1125Contig1	HCGP-BT-CO_00146
CL1125Contig2	HCGP-BT-CO_00147
CL1126Contig1	HCGP-BT-CO_00148
CL1127Contig1	HCGP-BT-CO_00149
CL1128Contig1	HCGP-BT-CO_00150
CL1129Contig1	HCGP-BT-CO_00151
CL112Contig1	HCGP-BT-CO_00152
CL112Contig2	HCGP-BT-CO_00153
CL112Contig3	HCGP-BT-CO_00154
CL1130Contig1	HCGP-BT-CO_00155
CL1131Contig1	HCGP-BT-CO_00156
CL1132Contig1	HCGP-BT-CO_00157
CL1133Contig1	HCGP-BT-CO_00158
CL1134Contig1	HCGP-BT-CO_00159
CL1136Contig1	HCGP-BT-CO_00160
CL1137Contig1	HCGP-BT-CO_00161
CL1138Contig1	HCGP-BT-CO_00162
CL1139Contig1	HCGP-BT-CO_00163
CL113Contig1	HCGP-BT-CO_00164
CL1140Contig1	HCGP-BT-CO_00165
CL1141Contig1	HCGP-BT-CO_00166
CL1142Contig1	HCGP-BT-CO_00167
CL1143Contig1	HCGP-BT-CO_00168
CL1144Contig1	HCGP-BT-CO_00169
CL1145Contig1	HCGP-BT-CO_00170
CL1145Contig2	HCGP-BT-CO_00171
CL1146Contig1	HCGP-BT-CO_00172
CL1147Contig1	HCGP-BT-CO_00173
CL1148Contig1	HCGP-BT-CO_00174
CL1149Contig1	HCGP-BT-CO_00175
CL114Contig1	HCGP-BT-CO_00176
CL1150Contig1	HCGP-BT-CO_00177
CL1151Contig1	HCGP-BT-CO_00178
CL1152Contig1	HCGP-BT-CO_00179
CL1153Contig1	HCGP-BT-CO_00180
CL1154Contig1	HCGP-BT-CO_00181
CL1154Contig2	HCGP-BT-CO_00182
CL1155Contig1	HCGP-BT-CO_00183
CL1156Contig1	HCGP-BT-CO_00184
CL1157Contig1	HCGP-BT-CO_00185
CL1158Contig1	HCGP-BT-CO_00186
CL1159Contig1	HCGP-BT-CO_00187
CL115Contig1	HCGP-BT-CO_00188
CL1160Contig1	HCGP-BT-CO_00189
CL1160Contig2	HCGP-BT-CO_00190
CL1161Contig1	HCGP-BT-CO_00191
CL1162Contig1	HCGP-BT-CO_00192
CL1163Contig1	HCGP-BT-CO_00193
CL1164Contig1	HCGP-BT-CO_00194
CL1165Contig1	HCGP-BT-CO_00195
CL1165Contig2	HCGP-BT-CO_00196
CL1167Contig1	HCGP-BT-CO_00197
CL1168Contig1	HCGP-BT-CO_00198
CL1169Contig1	HCGP-BT-CO_00199
CL116Contig1	HCGP-BT-CO_00200
CL1170Contig1	HCGP-BT-CO_00201
CL1171Contig1	HCGP-BT-CO_00202
CL1172Contig1	HCGP-BT-CO_00203
CL1173Contig1	HCGP-BT-CO_00204
CL1174Contig1	HCGP-BT-CO_00205
CL1175Contig1	HCGP-BT-CO_00206
CL1176Contig1	HCGP-BT-CO_00207
CL1178Contig1	HCGP-BT-CO_00208
CL1178Contig2	HCGP-BT-CO_00209
CL1179Contig1	HCGP-BT-CO_00210
CL117Contig1	HCGP-BT-CO_00211
CL1180Contig1	HCGP-BT-CO_00212
CL1181Contig1	HCGP-BT-CO_00213
CL1182Contig1	HCGP-BT-CO_00214
CL1182Contig2	HCGP-BT-CO_00215
CL1183Contig1	HCGP-BT-CO_00216
CL1184Contig1	HCGP-BT-CO_00217
CL1184Contig2	HCGP-BT-CO_00218
CL1185Contig1	HCGP-BT-CO_00219
CL1186Contig1	HCGP-BT-CO_00220
CL1187Contig1	HCGP-BT-CO_00221
CL1188Contig1	HCGP-BT-CO_00222
CL1189Contig1	HCGP-BT-CO_00223
CL118Contig1	HCGP-BT-CO_00224
CL1190Contig1	HCGP-BT-CO_00225
CL1191Contig1	HCGP-BT-CO_00226
CL1192Contig1	HCGP-BT-CO_00227
CL1193Contig1	HCGP-BT-CO_00228
CL1194Contig1	HCGP-BT-CO_00229
CL1196Contig1	HCGP-BT-CO_00230
CL1197Contig1	HCGP-BT-CO_00231
CL1198Contig1	HCGP-BT-CO_00232
CL1199Contig1	HCGP-BT-CO_00233
CL119Contig1	HCGP-BT-CO_00234
CL11Contig1	HCGP-BT-CO_00235
CL11Contig2	HCGP-BT-CO_00236
CL11Contig3	HCGP-BT-CO_00237
CL11Contig4	HCGP-BT-CO_00238
CL11Contig5	HCGP-BT-CO_00239
CL11Contig6	HCGP-BT-CO_00240
CL11Contig7	HCGP-BT-CO_00241
CL1200Contig1	HCGP-BT-CO_00242
CL1201Contig1	HCGP-BT-CO_00243
CL1202Contig1	HCGP-BT-CO_00244
CL1203Contig1	HCGP-BT-CO_00245
CL1204Contig1	HCGP-BT-CO_00246
CL1205Contig1	HCGP-BT-CO_00247
CL1206Contig1	HCGP-BT-CO_00248
CL1207Contig1	HCGP-BT-CO_00249
CL1208Contig1	HCGP-BT-CO_00250
CL120Contig1	HCGP-BT-CO_00251
CL1210Contig1	HCGP-BT-CO_00252
CL1211Contig1	HCGP-BT-CO_00253
CL1212Contig1	HCGP-BT-CO_00254
CL1213Contig1	HCGP-BT-CO_00255
CL1214Contig1	HCGP-BT-CO_00256
CL1214Contig2	HCGP-BT-CO_00257
CL1215Contig1	HCGP-BT-CO_00258
CL1216Contig1	HCGP-BT-CO_00259
CL1217Contig1	HCGP-BT-CO_00260
CL1218Contig1	HCGP-BT-CO_00261
CL1219Contig1	HCGP-BT-CO_00262
CL121Contig1	HCGP-BT-CO_00263
CL121Contig2	HCGP-BT-CO_00264
CL1220Contig1	HCGP-BT-CO_00265
CL1221Contig1	HCGP-BT-CO_00266
CL1222Contig1	HCGP-BT-CO_00267
CL1223Contig1	HCGP-BT-CO_00268
CL1224Contig1	HCGP-BT-CO_00269
CL1225Contig1	HCGP-BT-CO_00270
CL1225Contig2	HCGP-BT-CO_00271
CL1226Contig1	HCGP-BT-CO_00272
CL1227Contig1	HCGP-BT-CO_00273
CL1228Contig1	HCGP-BT-CO_00274
CL1229Contig1	HCGP-BT-CO_00275
CL122Contig1	HCGP-BT-CO_00276
CL122Contig2	HCGP-BT-CO_00277
CL1230Contig1	HCGP-BT-CO_00278
CL1231Contig1	HCGP-BT-CO_00279
CL1232Contig1	HCGP-BT-CO_00280
CL1233Contig1	HCGP-BT-CO_00281
CL1234Contig1	HCGP-BT-CO_00282
CL1235Contig1	HCGP-BT-CO_00283
CL1236Contig1	HCGP-BT-CO_00284
CL1237Contig1	HCGP-BT-CO_00285
CL1238Contig1	HCGP-BT-CO_00286
CL1239Contig1	HCGP-BT-CO_00287
CL123Contig1	HCGP-BT-CO_00288
CL123Contig2	HCGP-BT-CO_00289
CL1240Contig1	HCGP-BT-CO_00290
CL1241Contig1	HCGP-BT-CO_00291
CL1241Contig2	HCGP-BT-CO_00292
CL1242Contig1	HCGP-BT-CO_00293
CL1243Contig1	HCGP-BT-CO_00294
CL1245Contig1	HCGP-BT-CO_00295
CL1246Contig1	HCGP-BT-CO_00296
CL1247Contig1	HCGP-BT-CO_00297
CL1248Contig1	HCGP-BT-CO_00298
CL1249Contig1	HCGP-BT-CO_00299
CL124Contig1	HCGP-BT-CO_00300
CL124Contig2	HCGP-BT-CO_00301
CL1250Contig1	HCGP-BT-CO_00302
CL1251Contig1	HCGP-BT-CO_00303
CL1252Contig1	HCGP-BT-CO_00304
CL1253Contig1	HCGP-BT-CO_00305
CL1254Contig1	HCGP-BT-CO_00306
CL1255Contig1	HCGP-BT-CO_00307
CL1256Contig1	HCGP-BT-CO_00308
CL1257Contig1	HCGP-BT-CO_00309
CL1258Contig1	HCGP-BT-CO_00310
CL1259Contig1	HCGP-BT-CO_00311
CL125Contig1	HCGP-BT-CO_00312
CL125Contig2	HCGP-BT-CO_00313
CL1260Contig1	HCGP-BT-CO_00314
CL1261Contig1	HCGP-BT-CO_00315
CL1262Contig1	HCGP-BT-CO_00316
CL1263Contig1	HCGP-BT-CO_00317
CL1264Contig1	HCGP-BT-CO_00318
CL1265Contig1	HCGP-BT-CO_00319
CL1266Contig1	HCGP-BT-CO_00320
CL1267Contig1	HCGP-BT-CO_00321
CL1269Contig1	HCGP-BT-CO_00322
CL126Contig1	HCGP-BT-CO_00323
CL126Contig2	HCGP-BT-CO_00324
CL126Contig3	HCGP-BT-CO_00325
CL126Contig4	HCGP-BT-CO_00326
CL1270Contig1	HCGP-BT-CO_00327
CL1271Contig1	HCGP-BT-CO_00328
CL1272Contig1	HCGP-BT-CO_00329
CL1273Contig1	HCGP-BT-CO_00330
CL1274Contig1	HCGP-BT-CO_00331
CL1275Contig1	HCGP-BT-CO_00332
CL1276Contig1	HCGP-BT-CO_00333
CL1277Contig1	HCGP-BT-CO_00334
CL1278Contig1	HCGP-BT-CO_00335
CL1279Contig1	HCGP-BT-CO_00336
CL1280Contig1	HCGP-BT-CO_00337
CL1281Contig1	HCGP-BT-CO_00338
CL1283Contig1	HCGP-BT-CO_00339
CL1284Contig1	HCGP-BT-CO_00340
CL1285Contig1	HCGP-BT-CO_00341
CL1286Contig1	HCGP-BT-CO_00342
CL1287Contig1	HCGP-BT-CO_00343
CL1288Contig1	HCGP-BT-CO_00344
CL1289Contig1	HCGP-BT-CO_00345
CL128Contig1	HCGP-BT-CO_00346
CL1290Contig1	HCGP-BT-CO_00347
CL1291Contig1	HCGP-BT-CO_00348
CL1292Contig1	HCGP-BT-CO_00349
CL1293Contig1	HCGP-BT-CO_00350
CL1294Contig1	HCGP-BT-CO_00351
CL1295Contig1	HCGP-BT-CO_00352
CL1296Contig1	HCGP-BT-CO_00353
CL1297Contig1	HCGP-BT-CO_00354
CL1298Contig1	HCGP-BT-CO_00355
CL1299Contig1	HCGP-BT-CO_00356
CL129Contig1	HCGP-BT-CO_00357
CL129Contig2	HCGP-BT-CO_00358
CL12Contig1	HCGP-BT-CO_00359
CL12Contig2	HCGP-BT-CO_00360
CL12Contig3	HCGP-BT-CO_00361
CL12Contig4	HCGP-BT-CO_00362
CL1300Contig1	HCGP-BT-CO_00363
CL1301Contig1	HCGP-BT-CO_00364
CL1302Contig1	HCGP-BT-CO_00365
CL1303Contig1	HCGP-BT-CO_00366
CL1304Contig1	HCGP-BT-CO_00367
CL1305Contig1	HCGP-BT-CO_00368
CL1306Contig1	HCGP-BT-CO_00369
CL1307Contig1	HCGP-BT-CO_00370
CL1308Contig1	HCGP-BT-CO_00371
CL1309Contig1	HCGP-BT-CO_00372
CL130Contig1	HCGP-BT-CO_00373
CL1310Contig1	HCGP-BT-CO_00374
CL1311Contig1	HCGP-BT-CO_00375
CL1311Contig2	HCGP-BT-CO_00376
CL1312Contig1	HCGP-BT-CO_00377
CL1313Contig1	HCGP-BT-CO_00378
CL1314Contig1	HCGP-BT-CO_00379
CL1315Contig1	HCGP-BT-CO_00380
CL1316Contig1	HCGP-BT-CO_00381
CL1317Contig1	HCGP-BT-CO_00382
CL1318Contig1	HCGP-BT-CO_00383
CL1319Contig1	HCGP-BT-CO_00384
CL131Contig1	HCGP-BT-CO_00385
CL1320Contig1	HCGP-BT-CO_00386
CL1321Contig1	HCGP-BT-CO_00387
CL1322Contig1	HCGP-BT-CO_00388
CL1323Contig1	HCGP-BT-CO_00389
CL1324Contig1	HCGP-BT-CO_00390
CL1325Contig1	HCGP-BT-CO_00391
CL1326Contig1	HCGP-BT-CO_00392
CL1327Contig1	HCGP-BT-CO_00393
CL1328Contig1	HCGP-BT-CO_00394
CL1329Contig1	HCGP-BT-CO_00395
CL132Contig1	HCGP-BT-CO_00396
CL1330Contig1	HCGP-BT-CO_00397
CL1330Contig2	HCGP-BT-CO_00398
CL1331Contig1	HCGP-BT-CO_00399
CL1331Contig2	HCGP-BT-CO_00400
CL1332Contig1	HCGP-BT-CO_00401
CL1333Contig1	HCGP-BT-CO_00402
CL1334Contig1	HCGP-BT-CO_00403
CL1335Contig1	HCGP-BT-CO_00404
CL1336Contig1	HCGP-BT-CO_00405
CL1337Contig1	HCGP-BT-CO_00406
CL1338Contig1	HCGP-BT-CO_00407
CL1338Contig2	HCGP-BT-CO_00408
CL1339Contig1	HCGP-BT-CO_00409
CL133Contig1	HCGP-BT-CO_00410
CL133Contig2	HCGP-BT-CO_00411
CL133Contig3	HCGP-BT-CO_00412
CL1340Contig1	HCGP-BT-CO_00413
CL1341Contig1	HCGP-BT-CO_00414
CL1342Contig1	HCGP-BT-CO_00415
CL1343Contig1	HCGP-BT-CO_00416
CL1343Contig2	HCGP-BT-CO_00417
CL1344Contig1	HCGP-BT-CO_00418
CL1345Contig1	HCGP-BT-CO_00419
CL1346Contig1	HCGP-BT-CO_00420
CL1347Contig1	HCGP-BT-CO_00421
CL1348Contig1	HCGP-BT-CO_00422
CL1348Contig2	HCGP-BT-CO_00423
CL1349Contig1	HCGP-BT-CO_00424
CL134Contig1	HCGP-BT-CO_00425
CL134Contig2	HCGP-BT-CO_00426
CL1350Contig1	HCGP-BT-CO_00427
CL1351Contig1	HCGP-BT-CO_00428
CL1352Contig1	HCGP-BT-CO_00429
CL1353Contig1	HCGP-BT-CO_00430
CL1354Contig1	HCGP-BT-CO_00431
CL1355Contig1	HCGP-BT-CO_00432
CL1356Contig1	HCGP-BT-CO_00433
CL1357Contig1	HCGP-BT-CO_00434
CL1358Contig1	HCGP-BT-CO_00435
CL1359Contig1	HCGP-BT-CO_00436
CL135Contig1	HCGP-BT-CO_00437
CL1360Contig1	HCGP-BT-CO_00438
CL1361Contig1	HCGP-BT-CO_00439
CL1362Contig1	HCGP-BT-CO_00440
CL1363Contig1	HCGP-BT-CO_00441
CL1364Contig1	HCGP-BT-CO_00442
CL1365Contig1	HCGP-BT-CO_00443
CL1366Contig1	HCGP-BT-CO_00444
CL1366Contig2	HCGP-BT-CO_00445
CL1367Contig1	HCGP-BT-CO_00446
CL1368Contig1	HCGP-BT-CO_00447
CL1369Contig1	HCGP-BT-CO_00448
CL136Contig1	HCGP-BT-CO_00449
CL1370Contig1	HCGP-BT-CO_00450
CL1371Contig1	HCGP-BT-CO_00451
CL1372Contig1	HCGP-BT-CO_00452
CL1373Contig1	HCGP-BT-CO_00453
CL1374Contig1	HCGP-BT-CO_00454
CL1375Contig1	HCGP-BT-CO_00455
CL1376Contig1	HCGP-BT-CO_00456
CL1377Contig1	HCGP-BT-CO_00457
CL1378Contig1	HCGP-BT-CO_00458
CL1379Contig1	HCGP-BT-CO_00459
CL137Contig1	HCGP-BT-CO_00460
CL137Contig2	HCGP-BT-CO_00461
CL137Contig3	HCGP-BT-CO_00462
CL1380Contig1	HCGP-BT-CO_00463
CL1381Contig1	HCGP-BT-CO_00464
CL1382Contig1	HCGP-BT-CO_00465
CL1384Contig1	HCGP-BT-CO_00466
CL1385Contig1	HCGP-BT-CO_00467
CL1386Contig1	HCGP-BT-CO_00468
CL1387Contig1	HCGP-BT-CO_00469
CL1388Contig1	HCGP-BT-CO_00470
CL1389Contig1	HCGP-BT-CO_00471
CL1390Contig1	HCGP-BT-CO_00472
CL1391Contig1	HCGP-BT-CO_00473
CL1392Contig1	HCGP-BT-CO_00474
CL1393Contig1	HCGP-BT-CO_00475
CL1394Contig1	HCGP-BT-CO_00476
CL1395Contig1	HCGP-BT-CO_00477
CL1396Contig1	HCGP-BT-CO_00478
CL1397Contig1	HCGP-BT-CO_00479
CL1398Contig1	HCGP-BT-CO_00480
CL1399Contig1	HCGP-BT-CO_00481
CL139Contig1	HCGP-BT-CO_00482
CL13Contig1	HCGP-BT-CO_00483
CL13Contig2	HCGP-BT-CO_00484
CL13Contig3	HCGP-BT-CO_00485
CL13Contig4	HCGP-BT-CO_00486
CL13Contig5	HCGP-BT-CO_00487
CL13Contig6	HCGP-BT-CO_00488
CL1400Contig1	HCGP-BT-CO_00489
CL1401Contig1	HCGP-BT-CO_00490
CL1402Contig1	HCGP-BT-CO_00491
CL1403Contig1	HCGP-BT-CO_00492
CL1404Contig1	HCGP-BT-CO_00493
CL1405Contig1	HCGP-BT-CO_00494
CL1406Contig1	HCGP-BT-CO_00495
CL1407Contig1	HCGP-BT-CO_00496
CL1408Contig1	HCGP-BT-CO_00497
CL1409Contig1	HCGP-BT-CO_00498
CL140Contig1	HCGP-BT-CO_00499
CL140Contig2	HCGP-BT-CO_00500
CL140Contig3	HCGP-BT-CO_00501
CL1410Contig1	HCGP-BT-CO_00502
CL1411Contig1	HCGP-BT-CO_00503
CL1412Contig1	HCGP-BT-CO_00504
CL1413Contig1	HCGP-BT-CO_00505
CL1414Contig1	HCGP-BT-CO_00506
CL1415Contig1	HCGP-BT-CO_00507
CL1416Contig1	HCGP-BT-CO_00508
CL1417Contig1	HCGP-BT-CO_00509
CL1418Contig1	HCGP-BT-CO_00510
CL1419Contig1	HCGP-BT-CO_00511
CL141Contig1	HCGP-BT-CO_00512
CL141Contig2	HCGP-BT-CO_00513
CL1420Contig1	HCGP-BT-CO_00514
CL1421Contig1	HCGP-BT-CO_00515
CL1422Contig1	HCGP-BT-CO_00516
CL1423Contig1	HCGP-BT-CO_00517
CL1424Contig1	HCGP-BT-CO_00518
CL1425Contig1	HCGP-BT-CO_00519
CL1426Contig1	HCGP-BT-CO_00520
CL1427Contig1	HCGP-BT-CO_00521
CL1428Contig1	HCGP-BT-CO_00522
CL142Contig1	HCGP-BT-CO_00523
CL1430Contig1	HCGP-BT-CO_00524
CL1431Contig1	HCGP-BT-CO_00525
CL1432Contig1	HCGP-BT-CO_00526
CL1434Contig1	HCGP-BT-CO_00527
CL1435Contig1	HCGP-BT-CO_00528
CL1436Contig1	HCGP-BT-CO_00529
CL1437Contig1	HCGP-BT-CO_00530
CL1439Contig1	HCGP-BT-CO_00531
CL143Contig1	HCGP-BT-CO_00532
CL1440Contig1	HCGP-BT-CO_00533
CL1441Contig1	HCGP-BT-CO_00534
CL1442Contig1	HCGP-BT-CO_00535
CL1443Contig1	HCGP-BT-CO_00536
CL1444Contig1	HCGP-BT-CO_00537
CL1445Contig1	HCGP-BT-CO_00538
CL1446Contig1	HCGP-BT-CO_00539
CL1447Contig1	HCGP-BT-CO_00540
CL1448Contig1	HCGP-BT-CO_00541
CL1449Contig1	HCGP-BT-CO_00542
CL144Contig1	HCGP-BT-CO_00543
CL1450Contig1	HCGP-BT-CO_00544
CL1451Contig1	HCGP-BT-CO_00545
CL1452Contig1	HCGP-BT-CO_00546
CL1453Contig1	HCGP-BT-CO_00547
CL1454Contig1	HCGP-BT-CO_00548
CL1455Contig1	HCGP-BT-CO_00549
CL1456Contig1	HCGP-BT-CO_00550
CL1457Contig1	HCGP-BT-CO_00551
CL1458Contig1	HCGP-BT-CO_00552
CL1459Contig1	HCGP-BT-CO_00553
CL145Contig1	HCGP-BT-CO_00554
CL145Contig2	HCGP-BT-CO_00555
CL1460Contig1	HCGP-BT-CO_00556
CL1461Contig1	HCGP-BT-CO_00557
CL1462Contig1	HCGP-BT-CO_00558
CL1463Contig1	HCGP-BT-CO_00559
CL1465Contig1	HCGP-BT-CO_00560
CL1466Contig1	HCGP-BT-CO_00561
CL1467Contig1	HCGP-BT-CO_00562
CL1468Contig1	HCGP-BT-CO_00563
CL1469Contig1	HCGP-BT-CO_00564
CL146Contig1	HCGP-BT-CO_00565
CL1470Contig1	HCGP-BT-CO_00566
CL1471Contig1	HCGP-BT-CO_00567
CL1472Contig1	HCGP-BT-CO_00568
CL1473Contig1	HCGP-BT-CO_00569
CL1474Contig1	HCGP-BT-CO_00570
CL1475Contig1	HCGP-BT-CO_00571
CL1476Contig1	HCGP-BT-CO_00572
CL1478Contig1	HCGP-BT-CO_00573
CL1478Contig2	HCGP-BT-CO_00574
CL1479Contig1	HCGP-BT-CO_00575
CL147Contig1	HCGP-BT-CO_00576
CL147Contig2	HCGP-BT-CO_00577
CL1480Contig1	HCGP-BT-CO_00578
CL1480Contig2	HCGP-BT-CO_00579
CL1481Contig1	HCGP-BT-CO_00580
CL1482Contig1	HCGP-BT-CO_00581
CL1483Contig1	HCGP-BT-CO_00582
CL1484Contig1	HCGP-BT-CO_00583
CL1485Contig1	HCGP-BT-CO_00584
CL1486Contig1	HCGP-BT-CO_00585
CL1487Contig1	HCGP-BT-CO_00586
CL1488Contig1	HCGP-BT-CO_00587
CL1489Contig1	HCGP-BT-CO_00588
CL148Contig1	HCGP-BT-CO_00589
CL1490Contig1	HCGP-BT-CO_00590
CL1490Contig2	HCGP-BT-CO_00591
CL1491Contig1	HCGP-BT-CO_00592
CL1492Contig1	HCGP-BT-CO_00593
CL1493Contig1	HCGP-BT-CO_00594
CL1493Contig2	HCGP-BT-CO_00595
CL1494Contig1	HCGP-BT-CO_00596
CL1495Contig1	HCGP-BT-CO_00597
CL1496Contig1	HCGP-BT-CO_00598
CL1497Contig1	HCGP-BT-CO_00599
CL1498Contig1	HCGP-BT-CO_00600
CL1499Contig1	HCGP-BT-CO_00601
CL149Contig1	HCGP-BT-CO_00602
CL14Contig1	HCGP-BT-CO_00603
CL14Contig2	HCGP-BT-CO_00604
CL1500Contig1	HCGP-BT-CO_00605
CL1501Contig1	HCGP-BT-CO_00606
CL1502Contig1	HCGP-BT-CO_00607
CL1504Contig1	HCGP-BT-CO_00608
CL1505Contig1	HCGP-BT-CO_00609
CL1506Contig1	HCGP-BT-CO_00610
