#TGICL_NAME	CONTIG_NAME
CL1000Contig1	HCGP-BN-CO_00001
CL1070Contig1	HCGP-BN-CO_00078
CL1071Contig1	HCGP-BN-CO_00079
CL1072Contig1	HCGP-BN-CO_00080
CL1073Contig1	HCGP-BN-CO_00081
CL1074Contig1	HCGP-BN-CO_00082
CL1075Contig1	HCGP-BN-CO_00083
CL1076Contig1	HCGP-BN-CO_00084
CL1077Contig1	HCGP-BN-CO_00085
CL1078Contig1	HCGP-BN-CO_00086
CL1079Contig1	HCGP-BN-CO_00087
CL107Contig1	HCGP-BN-CO_00088
CL107Contig2	HCGP-BN-CO_00089
CL1080Contig1	HCGP-BN-CO_00090
CL1081Contig1	HCGP-BN-CO_00091
CL1082Contig1	HCGP-BN-CO_00092
CL1083Contig1	HCGP-BN-CO_00093
CL1084Contig1	HCGP-BN-CO_00094
CL1085Contig1	HCGP-BN-CO_00095
CL1086Contig1	HCGP-BN-CO_00096
CL1087Contig1	HCGP-BN-CO_00097
CL1088Contig1	HCGP-BN-CO_00098
CL1089Contig1	HCGP-BN-CO_00099
CL108Contig1	HCGP-BN-CO_00100
CL1090Contig1	HCGP-BN-CO_00101
CL1091Contig1	HCGP-BN-CO_00102
CL1092Contig1	HCGP-BN-CO_00103
CL1093Contig1	HCGP-BN-CO_00104
CL1094Contig1	HCGP-BN-CO_00105
CL1095Contig1	HCGP-BN-CO_00106
CL1096Contig1	HCGP-BN-CO_00107
CL1097Contig1	HCGP-BN-CO_00108
CL1098Contig1	HCGP-BN-CO_00109
CL1099Contig1	HCGP-BN-CO_00110
CL109Contig1	HCGP-BN-CO_00111
CL10Contig1	HCGP-BN-CO_00112
CL1100Contig1	HCGP-BN-CO_00113
CL1101Contig1	HCGP-BN-CO_00114
CL1102Contig1	HCGP-BN-CO_00115
CL1103Contig1	HCGP-BN-CO_00116
CL1104Contig1	HCGP-BN-CO_00117
CL1105Contig1	HCGP-BN-CO_00118
CL1107Contig1	HCGP-BN-CO_00119
CL1108Contig1	HCGP-BN-CO_00120
CL1109Contig1	HCGP-BN-CO_00121
CL110Contig1	HCGP-BN-CO_00122
CL1110Contig1	HCGP-BN-CO_00123
CL1111Contig1	HCGP-BN-CO_00124
CL1112Contig1	HCGP-BN-CO_00125
CL1113Contig1	HCGP-BN-CO_00126
CL1114Contig1	HCGP-BN-CO_00127
CL1115Contig1	HCGP-BN-CO_00128
CL1117Contig1	HCGP-BN-CO_00129
CL1118Contig1	HCGP-BN-CO_00130
CL1119Contig1	HCGP-BN-CO_00131
CL111Contig1	HCGP-BN-CO_00132
CL1120Contig1	HCGP-BN-CO_00133
CL1121Contig1	HCGP-BN-CO_00134
CL1122Contig1	HCGP-BN-CO_00135
CL1123Contig1	HCGP-BN-CO_00136
CL1125Contig1	HCGP-BN-CO_00137
CL1125Contig2	HCGP-BN-CO_00138
CL1126Contig1	HCGP-BN-CO_00139
CL1127Contig1	HCGP-BN-CO_00140
CL1128Contig1	HCGP-BN-CO_00141
CL1129Contig1	HCGP-BN-CO_00142
CL112Contig1	HCGP-BN-CO_00143
CL1130Contig1	HCGP-BN-CO_00144
CL1131Contig1	HCGP-BN-CO_00145
CL1132Contig1	HCGP-BN-CO_00146
CL1132Contig2	HCGP-BN-CO_00147
CL1133Contig1	HCGP-BN-CO_00148
CL1134Contig1	HCGP-BN-CO_00149
CL1135Contig1	HCGP-BN-CO_00150
CL1136Contig1	HCGP-BN-CO_00151
CL1138Contig1	HCGP-BN-CO_00152
CL1139Contig1	HCGP-BN-CO_00153
CL113Contig1	HCGP-BN-CO_00154
CL113Contig2	HCGP-BN-CO_00155
CL1140Contig1	HCGP-BN-CO_00156
CL1142Contig1	HCGP-BN-CO_00157
CL1143Contig1	HCGP-BN-CO_00158
CL1144Contig1	HCGP-BN-CO_00159
CL1145Contig1	HCGP-BN-CO_00160
CL1146Contig1	HCGP-BN-CO_00161
CL1147Contig1	HCGP-BN-CO_00162
CL1148Contig1	HCGP-BN-CO_00163
CL1149Contig1	HCGP-BN-CO_00164
CL114Contig2	HCGP-BN-CO_00165
CL1150Contig1	HCGP-BN-CO_00166
CL1151Contig1	HCGP-BN-CO_00167
CL1152Contig1	HCGP-BN-CO_00168
CL1153Contig1	HCGP-BN-CO_00169
CL1154Contig1	HCGP-BN-CO_00170
CL1155Contig1	HCGP-BN-CO_00171
CL1156Contig1	HCGP-BN-CO_00172
CL1157Contig1	HCGP-BN-CO_00173
CL1158Contig1	HCGP-BN-CO_00174
CL1159Contig1	HCGP-BN-CO_00175
CL115Contig1	HCGP-BN-CO_00176
CL1160Contig1	HCGP-BN-CO_00177
CL1161Contig1	HCGP-BN-CO_00178
CL1162Contig1	HCGP-BN-CO_00179
CL1163Contig1	HCGP-BN-CO_00180
CL1164Contig1	HCGP-BN-CO_00181
CL1165Contig1	HCGP-BN-CO_00182
CL1166Contig1	HCGP-BN-CO_00183
CL1167Contig1	HCGP-BN-CO_00184
CL1168Contig1	HCGP-BN-CO_00185
CL1169Contig1	HCGP-BN-CO_00186
CL116Contig1	HCGP-BN-CO_00187
CL116Contig2	HCGP-BN-CO_00188
CL1170Contig1	HCGP-BN-CO_00189
CL1171Contig1	HCGP-BN-CO_00190
CL1172Contig1	HCGP-BN-CO_00191
CL1173Contig1	HCGP-BN-CO_00192
CL1174Contig1	HCGP-BN-CO_00193
CL1175Contig1	HCGP-BN-CO_00194
CL1176Contig1	HCGP-BN-CO_00195
CL1178Contig1	HCGP-BN-CO_00196
CL1179Contig1	HCGP-BN-CO_00197
CL117Contig1	HCGP-BN-CO_00198
CL1180Contig1	HCGP-BN-CO_00199
CL1181Contig1	HCGP-BN-CO_00200
CL1182Contig1	HCGP-BN-CO_00201
CL1183Contig1	HCGP-BN-CO_00202
CL1184Contig1	HCGP-BN-CO_00203
CL1185Contig1	HCGP-BN-CO_00204
CL1186Contig1	HCGP-BN-CO_00205
CL1187Contig1	HCGP-BN-CO_00206
CL1188Contig1	HCGP-BN-CO_00207
CL1189Contig1	HCGP-BN-CO_00208
CL118Contig1	HCGP-BN-CO_00209
CL1191Contig1	HCGP-BN-CO_00210
CL1192Contig1	HCGP-BN-CO_00211
CL1193Contig1	HCGP-BN-CO_00212
CL1194Contig1	HCGP-BN-CO_00213
CL1195Contig1	HCGP-BN-CO_00214
CL1197Contig1	HCGP-BN-CO_00215
CL1198Contig1	HCGP-BN-CO_00216
CL1199Contig1	HCGP-BN-CO_00217
CL119Contig1	HCGP-BN-CO_00218
CL11Contig1	HCGP-BN-CO_00219
CL11Contig2	HCGP-BN-CO_00220
CL11Contig3	HCGP-BN-CO_00221
CL11Contig5	HCGP-BN-CO_00222
CL1200Contig1	HCGP-BN-CO_00223
CL1201Contig1	HCGP-BN-CO_00224
CL1202Contig1	HCGP-BN-CO_00225
CL1203Contig1	HCGP-BN-CO_00226
CL1204Contig1	HCGP-BN-CO_00227
CL1205Contig1	HCGP-BN-CO_00228
CL1206Contig1	HCGP-BN-CO_00229
CL1207Contig1	HCGP-BN-CO_00230
CL1208Contig1	HCGP-BN-CO_00231
CL1209Contig1	HCGP-BN-CO_00232
CL120Contig1	HCGP-BN-CO_00233
CL1210Contig1	HCGP-BN-CO_00234
CL1211Contig1	HCGP-BN-CO_00235
CL1212Contig1	HCGP-BN-CO_00236
CL1213Contig1	HCGP-BN-CO_00237
CL1214Contig1	HCGP-BN-CO_00238
CL1215Contig1	HCGP-BN-CO_00239
CL1216Contig1	HCGP-BN-CO_00240
CL1217Contig1	HCGP-BN-CO_00241
CL1219Contig1	HCGP-BN-CO_00242
CL121Contig1	HCGP-BN-CO_00243
CL1220Contig1	HCGP-BN-CO_00244
CL1221Contig1	HCGP-BN-CO_00245
CL1222Contig1	HCGP-BN-CO_00246
CL1223Contig1	HCGP-BN-CO_00247
CL1224Contig1	HCGP-BN-CO_00248
CL1225Contig1	HCGP-BN-CO_00249
CL1226Contig1	HCGP-BN-CO_00250
CL1226Contig2	HCGP-BN-CO_00251
CL1227Contig1	HCGP-BN-CO_00252
CL1228Contig1	HCGP-BN-CO_00253
CL1229Contig1	HCGP-BN-CO_00254
CL122Contig1	HCGP-BN-CO_00255
CL1230Contig1	HCGP-BN-CO_00256
CL1231Contig1	HCGP-BN-CO_00257
CL1232Contig1	HCGP-BN-CO_00258
CL1233Contig1	HCGP-BN-CO_00259
CL1234Contig1	HCGP-BN-CO_00260
CL1236Contig1	HCGP-BN-CO_00261
CL1237Contig1	HCGP-BN-CO_00262
CL1238Contig1	HCGP-BN-CO_00263
CL123Contig1	HCGP-BN-CO_00264
CL123Contig2	HCGP-BN-CO_00265
CL123Contig3	HCGP-BN-CO_00266
CL1240Contig1	HCGP-BN-CO_00267
CL1241Contig1	HCGP-BN-CO_00268
CL1242Contig1	HCGP-BN-CO_00269
CL1243Contig1	HCGP-BN-CO_00270
CL1244Contig1	HCGP-BN-CO_00271
CL1245Contig1	HCGP-BN-CO_00272
CL1246Contig1	HCGP-BN-CO_00273
CL1247Contig1	HCGP-BN-CO_00274
CL1248Contig1	HCGP-BN-CO_00275
CL1249Contig1	HCGP-BN-CO_00276
CL124Contig1	HCGP-BN-CO_00277
CL124Contig2	HCGP-BN-CO_00278
CL1250Contig1	HCGP-BN-CO_00279
CL1251Contig1	HCGP-BN-CO_00280
CL1252Contig1	HCGP-BN-CO_00281
CL1253Contig1	HCGP-BN-CO_00282
CL1254Contig1	HCGP-BN-CO_00283
CL1255Contig1	HCGP-BN-CO_00284
CL1256Contig1	HCGP-BN-CO_00285
CL1256Contig2	HCGP-BN-CO_00286
CL1257Contig1	HCGP-BN-CO_00287
CL1258Contig1	HCGP-BN-CO_00288
CL1259Contig1	HCGP-BN-CO_00289
CL125Contig1	HCGP-BN-CO_00290
CL1260Contig1	HCGP-BN-CO_00291
CL1261Contig1	HCGP-BN-CO_00292
CL1262Contig1	HCGP-BN-CO_00293
CL1263Contig1	HCGP-BN-CO_00294
CL1264Contig1	HCGP-BN-CO_00295
CL1265Contig1	HCGP-BN-CO_00296
CL1266Contig1	HCGP-BN-CO_00297
CL1267Contig1	HCGP-BN-CO_00298
CL1268Contig1	HCGP-BN-CO_00299
CL1269Contig1	HCGP-BN-CO_00300
CL126Contig1	HCGP-BN-CO_00301
CL1270Contig1	HCGP-BN-CO_00302
CL1271Contig1	HCGP-BN-CO_00303
CL1272Contig1	HCGP-BN-CO_00304
CL1273Contig1	HCGP-BN-CO_00305
CL1274Contig1	HCGP-BN-CO_00306
CL1275Contig1	HCGP-BN-CO_00307
CL1276Contig1	HCGP-BN-CO_00308
CL1277Contig1	HCGP-BN-CO_00309
CL1278Contig1	HCGP-BN-CO_00310
CL1279Contig1	HCGP-BN-CO_00311
CL127Contig1	HCGP-BN-CO_00312
CL1280Contig1	HCGP-BN-CO_00313
CL1281Contig1	HCGP-BN-CO_00314
CL1282Contig1	HCGP-BN-CO_00315
CL1283Contig1	HCGP-BN-CO_00316
CL1284Contig1	HCGP-BN-CO_00317
CL1285Contig1	HCGP-BN-CO_00318
CL1286Contig1	HCGP-BN-CO_00319
CL1287Contig1	HCGP-BN-CO_00320
CL1288Contig1	HCGP-BN-CO_00321
CL1289Contig1	HCGP-BN-CO_00322
CL128Contig1	HCGP-BN-CO_00323
CL1290Contig1	HCGP-BN-CO_00324
CL1291Contig1	HCGP-BN-CO_00325
CL1292Contig1	HCGP-BN-CO_00326
CL1293Contig1	HCGP-BN-CO_00327
CL1295Contig1	HCGP-BN-CO_00328
CL1296Contig1	HCGP-BN-CO_00329
CL1297Contig1	HCGP-BN-CO_00330
CL1298Contig1	HCGP-BN-CO_00331
CL1299Contig1	HCGP-BN-CO_00332
CL129Contig1	HCGP-BN-CO_00333
CL12Contig1	HCGP-BN-CO_00334
CL1300Contig1	HCGP-BN-CO_00335
CL1301Contig1	HCGP-BN-CO_00336
CL1304Contig1	HCGP-BN-CO_00337
CL1305Contig1	HCGP-BN-CO_00338
CL1306Contig1	HCGP-BN-CO_00339
CL1308Contig1	HCGP-BN-CO_00340
CL1309Contig1	HCGP-BN-CO_00341
CL130Contig1	HCGP-BN-CO_00342
CL1310Contig1	HCGP-BN-CO_00343
CL1311Contig1	HCGP-BN-CO_00344
CL1312Contig1	HCGP-BN-CO_00345
CL1313Contig1	HCGP-BN-CO_00346
CL1314Contig1	HCGP-BN-CO_00347
CL1315Contig1	HCGP-BN-CO_00348
CL1316Contig1	HCGP-BN-CO_00349
CL1317Contig1	HCGP-BN-CO_00350
CL1318Contig1	HCGP-BN-CO_00351
CL1319Contig1	HCGP-BN-CO_00352
CL131Contig1	HCGP-BN-CO_00353
CL1321Contig1	HCGP-BN-CO_00354
CL1322Contig1	HCGP-BN-CO_00355
CL1324Contig1	HCGP-BN-CO_00356
CL1325Contig1	HCGP-BN-CO_00357
CL1326Contig1	HCGP-BN-CO_00358
CL1327Contig1	HCGP-BN-CO_00359
CL1328Contig1	HCGP-BN-CO_00360
CL1329Contig1	HCGP-BN-CO_00361
CL132Contig1	HCGP-BN-CO_00362
CL1330Contig1	HCGP-BN-CO_00363
CL1331Contig1	HCGP-BN-CO_00364
CL1332Contig1	HCGP-BN-CO_00365
CL1333Contig1	HCGP-BN-CO_00366
CL1334Contig1	HCGP-BN-CO_00367
CL1335Contig1	HCGP-BN-CO_00368
CL1336Contig1	HCGP-BN-CO_00369
CL1337Contig1	HCGP-BN-CO_00370
CL1338Contig1	HCGP-BN-CO_00371
CL1339Contig1	HCGP-BN-CO_00372
CL133Contig1	HCGP-BN-CO_00373
CL133Contig2	HCGP-BN-CO_00374
CL1340Contig1	HCGP-BN-CO_00375
CL1341Contig1	HCGP-BN-CO_00376
CL1342Contig1	HCGP-BN-CO_00377
CL1343Contig1	HCGP-BN-CO_00378
CL1344Contig1	HCGP-BN-CO_00379
CL1345Contig1	HCGP-BN-CO_00380
CL1346Contig1	HCGP-BN-CO_00381
CL1347Contig1	HCGP-BN-CO_00382
CL1348Contig1	HCGP-BN-CO_00383
CL1349Contig1	HCGP-BN-CO_00384
CL134Contig1	HCGP-BN-CO_00385
CL134Contig2	HCGP-BN-CO_00386
CL1351Contig1	HCGP-BN-CO_00387
CL1352Contig1	HCGP-BN-CO_00388
CL1354Contig1	HCGP-BN-CO_00389
CL1355Contig1	HCGP-BN-CO_00390
CL1356Contig1	HCGP-BN-CO_00391
CL1357Contig1	HCGP-BN-CO_00392
CL1358Contig1	HCGP-BN-CO_00393
CL135Contig1	HCGP-BN-CO_00394
CL1361Contig1	HCGP-BN-CO_00395
CL1362Contig1	HCGP-BN-CO_00396
CL1364Contig1	HCGP-BN-CO_00397
CL1365Contig1	HCGP-BN-CO_00398
CL1366Contig1	HCGP-BN-CO_00399
CL1367Contig1	HCGP-BN-CO_00400
CL1368Contig1	HCGP-BN-CO_00401
CL1369Contig1	HCGP-BN-CO_00402
CL136Contig1	HCGP-BN-CO_00403
CL136Contig2	HCGP-BN-CO_00404
CL1371Contig1	HCGP-BN-CO_00405
CL1372Contig1	HCGP-BN-CO_00406
CL1373Contig1	HCGP-BN-CO_00407
CL1374Contig1	HCGP-BN-CO_00408
CL1375Contig1	HCGP-BN-CO_00409
CL1376Contig1	HCGP-BN-CO_00410
CL1377Contig1	HCGP-BN-CO_00411
CL1378Contig1	HCGP-BN-CO_00412
CL1379Contig1	HCGP-BN-CO_00413
CL137Contig1	HCGP-BN-CO_00414
CL137Contig2	HCGP-BN-CO_00415
CL1381Contig1	HCGP-BN-CO_00416
CL1382Contig1	HCGP-BN-CO_00417
CL1385Contig1	HCGP-BN-CO_00418
CL1386Contig1	HCGP-BN-CO_00419
CL1387Contig1	HCGP-BN-CO_00420
CL1388Contig1	HCGP-BN-CO_00421
CL1389Contig1	HCGP-BN-CO_00422
CL138Contig1	HCGP-BN-CO_00423
CL138Contig2	HCGP-BN-CO_00424
CL138Contig3	HCGP-BN-CO_00425
CL1391Contig1	HCGP-BN-CO_00426
CL1392Contig1	HCGP-BN-CO_00427
CL1393Contig1	HCGP-BN-CO_00428
CL1394Contig1	HCGP-BN-CO_00429
CL1395Contig1	HCGP-BN-CO_00430
CL1396Contig1	HCGP-BN-CO_00431
CL1397Contig1	HCGP-BN-CO_00432
CL1398Contig1	HCGP-BN-CO_00433
CL1399Contig1	HCGP-BN-CO_00434
CL13Contig1	HCGP-BN-CO_00435
CL13Contig10	HCGP-BN-CO_00436
CL13Contig2	HCGP-BN-CO_00437
CL13Contig3	HCGP-BN-CO_00438
CL13Contig4	HCGP-BN-CO_00439
CL13Contig5	HCGP-BN-CO_00440
CL13Contig6	HCGP-BN-CO_00441
CL13Contig7	HCGP-BN-CO_00442
CL13Contig8	HCGP-BN-CO_00443
CL13Contig9	HCGP-BN-CO_00444
CL1400Contig1	HCGP-BN-CO_00445
CL1401Contig1	HCGP-BN-CO_00446
CL1402Contig1	HCGP-BN-CO_00447
CL1403Contig1	HCGP-BN-CO_00448
CL1404Contig1	HCGP-BN-CO_00449
CL1405Contig1	HCGP-BN-CO_00450
CL1406Contig1	HCGP-BN-CO_00451
CL1407Contig1	HCGP-BN-CO_00452
CL1408Contig1	HCGP-BN-CO_00453
CL1409Contig1	HCGP-BN-CO_00454
CL140Contig1	HCGP-BN-CO_00455
CL1410Contig1	HCGP-BN-CO_00456
CL1411Contig1	HCGP-BN-CO_00457
CL1412Contig1	HCGP-BN-CO_00458
CL1413Contig1	HCGP-BN-CO_00459
CL1414Contig1	HCGP-BN-CO_00460
CL1415Contig1	HCGP-BN-CO_00461
CL1417Contig1	HCGP-BN-CO_00462
CL1418Contig1	HCGP-BN-CO_00463
CL1419Contig1	HCGP-BN-CO_00464
CL141Contig1	HCGP-BN-CO_00465
CL1420Contig1	HCGP-BN-CO_00466
CL1421Contig1	HCGP-BN-CO_00467
CL1422Contig1	HCGP-BN-CO_00468
CL1423Contig1	HCGP-BN-CO_00469
CL1424Contig1	HCGP-BN-CO_00470
CL1425Contig1	HCGP-BN-CO_00471
CL1426Contig1	HCGP-BN-CO_00472
CL1427Contig1	HCGP-BN-CO_00473
CL1428Contig1	HCGP-BN-CO_00474
CL1429Contig1	HCGP-BN-CO_00475
CL142Contig1	HCGP-BN-CO_00476
CL142Contig2	HCGP-BN-CO_00477
CL1431Contig1	HCGP-BN-CO_00478
CL1432Contig1	HCGP-BN-CO_00479
CL1433Contig1	HCGP-BN-CO_00480
CL1434Contig1	HCGP-BN-CO_00481
CL1435Contig1	HCGP-BN-CO_00482
CL1436Contig1	HCGP-BN-CO_00483
CL1437Contig1	HCGP-BN-CO_00484
CL1438Contig1	HCGP-BN-CO_00485
CL1439Contig1	HCGP-BN-CO_00486
CL143Contig1	HCGP-BN-CO_00487
CL143Contig2	HCGP-BN-CO_00488
CL143Contig3	HCGP-BN-CO_00489
CL1440Contig1	HCGP-BN-CO_00490
CL1441Contig1	HCGP-BN-CO_00491
CL1442Contig1	HCGP-BN-CO_00492
CL1443Contig1	HCGP-BN-CO_00493
CL1444Contig1	HCGP-BN-CO_00494
CL1445Contig1	HCGP-BN-CO_00495
CL1446Contig1	HCGP-BN-CO_00496
CL1447Contig1	HCGP-BN-CO_00497
CL1448Contig1	HCGP-BN-CO_00498
CL1449Contig1	HCGP-BN-CO_00499
CL144Contig1	HCGP-BN-CO_00500
CL1450Contig1	HCGP-BN-CO_00501
CL1451Contig1	HCGP-BN-CO_00502
CL1452Contig1	HCGP-BN-CO_00503
CL1453Contig1	HCGP-BN-CO_00504
CL1454Contig1	HCGP-BN-CO_00505
CL1456Contig1	HCGP-BN-CO_00506
CL1457Contig1	HCGP-BN-CO_00507
CL1458Contig1	HCGP-BN-CO_00508
CL1459Contig1	HCGP-BN-CO_00509
CL145Contig1	HCGP-BN-CO_00510
CL1460Contig1	HCGP-BN-CO_00511
CL1461Contig1	HCGP-BN-CO_00512
CL1462Contig1	HCGP-BN-CO_00513
CL1463Contig1	HCGP-BN-CO_00514
CL1464Contig1	HCGP-BN-CO_00515
CL1465Contig1	HCGP-BN-CO_00516
CL1466Contig1	HCGP-BN-CO_00517
CL1467Contig1	HCGP-BN-CO_00518
CL1468Contig1	HCGP-BN-CO_00519
CL1469Contig1	HCGP-BN-CO_00520
CL146Contig1	HCGP-BN-CO_00521
CL1470Contig1	HCGP-BN-CO_00522
CL1471Contig1	HCGP-BN-CO_00523
CL1472Contig1	HCGP-BN-CO_00524
CL1473Contig1	HCGP-BN-CO_00525
CL1474Contig1	HCGP-BN-CO_00526
CL1475Contig1	HCGP-BN-CO_00527
CL1476Contig1	HCGP-BN-CO_00528
CL1477Contig1	HCGP-BN-CO_00529
CL1478Contig1	HCGP-BN-CO_00530
CL1479Contig1	HCGP-BN-CO_00531
CL147Contig1	HCGP-BN-CO_00532
CL147Contig2	HCGP-BN-CO_00533
CL147Contig3	HCGP-BN-CO_00534
CL147Contig4	HCGP-BN-CO_00535
CL1480Contig1	HCGP-BN-CO_00536
CL1481Contig1	HCGP-BN-CO_00537
CL1482Contig1	HCGP-BN-CO_00538
CL1483Contig1	HCGP-BN-CO_00539
CL1484Contig1	HCGP-BN-CO_00540
CL1485Contig1	HCGP-BN-CO_00541
CL1486Contig1	HCGP-BN-CO_00542
CL1488Contig1	HCGP-BN-CO_00543
CL1489Contig1	HCGP-BN-CO_00544
CL148Contig1	HCGP-BN-CO_00545
CL148Contig2	HCGP-BN-CO_00546
CL1490Contig1	HCGP-BN-CO_00547
CL1491Contig1	HCGP-BN-CO_00548
CL1492Contig1	HCGP-BN-CO_00549
CL1493Contig1	HCGP-BN-CO_00550
CL1494Contig1	HCGP-BN-CO_00551
CL1496Contig1	HCGP-BN-CO_00552
CL1497Contig1	HCGP-BN-CO_00553
CL1498Contig1	HCGP-BN-CO_00554
CL1499Contig1	HCGP-BN-CO_00555
CL149Contig1	HCGP-BN-CO_00556
CL14Contig1	HCGP-BN-CO_00557
CL14Contig10	HCGP-BN-CO_00558
CL14Contig11	HCGP-BN-CO_00559
CL14Contig12	HCGP-BN-CO_00560
CL14Contig13	HCGP-BN-CO_00561
CL14Contig14	HCGP-BN-CO_00562
CL14Contig15	HCGP-BN-CO_00563
CL14Contig16	HCGP-BN-CO_00564
CL14Contig2	HCGP-BN-CO_00565
CL14Contig3	HCGP-BN-CO_00566
CL14Contig4	HCGP-BN-CO_00567
CL14Contig5	HCGP-BN-CO_00568
CL14Contig6	HCGP-BN-CO_00569
CL14Contig7	HCGP-BN-CO_00570
CL14Contig8	HCGP-BN-CO_00571
CL14Contig9	HCGP-BN-CO_00572
CL1500Contig1	HCGP-BN-CO_00573
CL1501Contig1	HCGP-BN-CO_00574
CL1503Contig1	HCGP-BN-CO_00575
CL1506Contig1	HCGP-BN-CO_00576
CL1507Contig1	HCGP-BN-CO_00577
CL1508Contig1	HCGP-BN-CO_00578
CL1509Contig1	HCGP-BN-CO_00579
CL150Contig1	HCGP-BN-CO_00580
CL150Contig2	HCGP-BN-CO_00581
CL1510Contig1	HCGP-BN-CO_00582
CL1511Contig1	HCGP-BN-CO_00583
CL1512Contig1	HCGP-BN-CO_00584
CL1513Contig1	HCGP-BN-CO_00585
CL1514Contig1	HCGP-BN-CO_00586
CL1515Contig1	HCGP-BN-CO_00587
CL1517Contig1	HCGP-BN-CO_00588
CL1518Contig1	HCGP-BN-CO_00589
CL1519Contig1	HCGP-BN-CO_00590
CL151Contig1	HCGP-BN-CO_00591
CL1520Contig1	HCGP-BN-CO_00592
CL1521Contig1	HCGP-BN-CO_00593
CL1522Contig1	HCGP-BN-CO_00594
CL1523Contig1	HCGP-BN-CO_00595
CL1524Contig1	HCGP-BN-CO_00596
CL1525Contig1	HCGP-BN-CO_00597
CL1526Contig1	HCGP-BN-CO_00598
CL1527Contig1	HCGP-BN-CO_00599
CL1529Contig1	HCGP-BN-CO_00600
CL152Contig1	HCGP-BN-CO_00601
CL1530Contig1	HCGP-BN-CO_00602
CL1531Contig1	HCGP-BN-CO_00603
CL1532Contig1	HCGP-BN-CO_00604
CL1534Contig1	HCGP-BN-CO_00605
CL1536Contig1	HCGP-BN-CO_00606
CL1537Contig1	HCGP-BN-CO_00607
CL1538Contig1	HCGP-BN-CO_00608
CL1539Contig1	HCGP-BN-CO_00609
CL153Contig1	HCGP-BN-CO_00610
